,time(sec),r,wtot
55,200.47667193636048,5.4997739524554445,3.7028272970068624e-13
56,204.1217023352034,5.499773946270098,3.702827300100829e-13
57,207.76673273404631,5.49977394094663,3.702827302471574e-13
58,211.41176313288923,5.499773936528449,3.702827304165692e-13
59,215.05679353173215,5.499773933215207,3.702827305277941e-13
60,218.70182393057507,5.499773931467003,3.702827306023378e-13
61,222.346854329418,5.4997739322014345,3.7028273068676137e-13
62,225.9918847282609,5.49977393716821,3.7028273087522223e-13
63,229.63691512710383,5.4997739496190094,3.702827313514011e-13
64,233.28194552594675,5.499773975534888,3.7028273246224977e-13
65,236.92697592478967,5.49977402584237,3.7028273484855684e-13
66,240.5720063236326,5.49977412039907,3.702827396735482e-13
67,244.2170367224755,5.499774295106367,3.7028274902054907e-13
68,247.86206712131843,5.499774614521302,3.702827665767736e-13
69,251.50709752016135,5.499775193984299,3.702827987998181e-13
70,255.15212791900427,5.499776237958092,3.702828568908848e-13
71,258.79715831784716,5.4997781055084625,3.702829600987402e-13
72,262.44218871669005,5.499781421964784,3.702831410279876e-13
73,266.08721911553295,5.499787263328914,3.702834542675381e-13
74,269.73224951437584,5.499797453606992,3.7028399025858594e-13
75,273.37727991321873,5.499815040417547,3.7028489641490215e-13
76,277.0223103120616,5.499845036071021,3.7028640840120084e-13
77,280.6673407109045,5.499895509519196,3.702888977410861e-13
78,284.3123711097474,5.4999791955090895,3.7029293637095775e-13
79,287.9574015085903,5.500115710221529,3.7029938599726253e-13
80,291.6024319074332,5.500334461035874,3.703095151505005e-13
81,295.2474623062761,5.500678458751124,3.7032512236195524e-13
82,298.89249270511897,5.501208216552031,3.703487184274747e-13
83,302.53752310396186,5.50200648650961,3.7038363406445316e-13
84,306.18255350280475,5.503181214548363,3.7043419651944175e-13
85,309.82758390164764,5.504868449534975,3.705056521680388e-13
86,313.47261430049053,5.507229347905232,3.7060420199759363e-13
87,317.1176446993334,5.510444674046457,3.7073663260967573e-13
88,320.7626750981763,5.514701991118925,3.7090986292729433e-13
89,324.4077054970192,5.520177275918148,3.7113022712119607e-13
90,328.0527358958621,5.527013662837401,3.714024191241003e-13
91,331.697766294705,5.535293543322027,3.717288372509123e-13
92,335.3427966935479,5.545021909591637,3.7210822329515107e-13
93,338.9878270923908,5.556104324310886,3.7253571345300026e-13
94,342.63285749123366,5.5683550833166295,3.7300159424976904e-13
95,346.27788789007656,5.58148531850339,3.7349349636595814e-13
96,349.92291828891945,5.595148454658285,3.7399500197347837e-13
97,353.56794868776234,5.608955339775806,3.7448829018838356e-13
98,357.21297908660523,5.622519598035225,3.749546071639003e-13
99,360.8580094854481,5.635479454878384,3.7537681453336326e-13
